dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20120627,"7,500",0,0,2005,, ,19.01,6,103-7,스페이스엠,,,11410,서대문구,연희동, 
20120701,"8,200",10,0,2006,, ,19.4,10,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120702,"3,000",25,0,2004,, ,19.58,3,78-4,시아 루비움,,,11410,서대문구,연희동, 
20120716,"3,000",40,0,2004,, ,19.04,2,188-3,(188-3),,,11410,서대문구,연희동, 
20120717,"9,500",0,0,2006,, ,19.4,2,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120717,"14,000",0,0,2009,, ,28.82,6,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120718,"16,000",0,0,2009,, ,35.53,3,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120720,"14,000",0,0,2009,, ,56.12,6,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20120721,"3,500",20,0,2002,, ,20.39,4,121-4,오벨리스크,,,11410,서대문구,연희동, 
20120727,"3,000",35,0,2002,, ,20.39,3,121-4,오벨리스크,,,11410,서대문구,연희동, 
20120731,"20,000",0,0,2007,, ,115.53,5,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120804,"10,000",0,0,2004,, ,24.525,6,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20120804,"14,000",0,0,2009,, ,56.12,3,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20120806,"8,000",0,0,2005,, ,16.83,2,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20120807,"13,000",0,0,2009,, ,25.35,19,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120811,"3,000",35,0,2002,, ,20.39,2,121-4,오벨리스크,,,11410,서대문구,연희동, 
20120817,"1,000",50,0,2001,, ,16.2,8,212-2,연희소프트빌,,,11410,서대문구,연희동, 
20120817,"2,000",27,0,2003,, ,22.95,2,396-24,현상준건물,,,11410,서대문구,홍은동, 
20120821,"2,000",55,0,2005,, ,19.01,5,103-7,스페이스엠,,,11410,서대문구,연희동, 
20120825,"5,000",50,0,2009,, ,25.35,5,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20120828,"21,000",0,0,2007,, ,89.73,3,340-27,현대싱그런,,,11410,서대문구,연희동, 
20120901,"5,000",0,0,2003,, ,21.12,2,413-126,(413-126),,,11410,서대문구,연희동, 
20120902,"8,500",16,0,2006,, ,19.4,4,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20120904,"8,000",10,0,2003,, ,26.03,5,136-7,(136-7),,,11410,서대문구,연희동, 
20120908,"3,500",25,0,2002,, ,20.39,4,121-4,오벨리스크,,,11410,서대문구,연희동, 
20120911,"30,000",0,0,2007,, ,97.65,7,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20120914,"1,000",70,0,2004,, ,24.29,10,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20120917,"8,000",10,0,2003,, ,26.03,7,136-7,(136-7),,,11410,서대문구,연희동, 
20120921,"3,000",45,0,2005,, ,19.01,3,103-7,스페이스엠,,,11410,서대문구,연희동, 
20120926,"1,000",50,0,2002,, ,25.73,7,76-24,(76-24),,,11410,서대문구,연희동, 
20120927,"13,000",0,0,2004,, ,28.5,8,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20121006,"1,000",50,0,2004,, ,17.16,7,78-4,시아 루비움,,,11410,서대문구,연희동, 
20121012,"1,000",50,0,2006,, ,37.15,5,117,충정로대우디오빌,,,11410,서대문구,합동, 
20121013,"15,500",0,0,2009,, ,35.53,5,192,서대문 디오빌 오피스텔,,,11410,서대문구,충정로2가, 
20121016,"2,000",140,0,2007,, ,58.57,7,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20121018,"8,000",8,0,2003,, ,27.48,3,136-7,(136-7),,,11410,서대문구,연희동, 
20121023,"1,000",58,0,2005,, ,16.83,6,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20121025,"5,800",35,0,2006,, ,22.61,6,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20121025,"32,000",0,0,2007,, ,97.65,7,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20121030,"3,000",20,0,2003,, ,22.95,2,396-24,현상준건물,,,11410,서대문구,홍은동, 
20121031,"7,500",0,0,2005,, ,19.01,1,103-7,스페이스엠,,,11410,서대문구,연희동, 
20121105,"11,000",0,0,2004,, ,38.28,6,78-4,시아 루비움,,,11410,서대문구,연희동, 
20121105,"13,500",0,0,2006,, ,28.5,11,20-51,신영스카이텔,,,11410,서대문구,창천동, 
20121107,"6,500",0,0,2004,, ,21.75,4,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20121119,"3,000",80,0,2005,, ,45.63,8,27-20,신촌가이아,,,11410,서대문구,대현동, 
20121123,"8,000",0,0,2005,, ,19.01,1,103-7,스페이스엠,,,11410,서대문구,연희동, 
20121126,"8,500",0,0,2006,, ,42.66,3,169-3,드리밍 아파트,,,11410,서대문구,연희동, 
20121126,"3,000",40,0,2004,, ,19.38,1,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
20121127,"14,000",0,0,2009,, ,56.12,3,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20121127,"7,500",0,0,2003,, ,19.94,2,188-57,(188-57),,,11410,서대문구,연희동, 
20121127,"13,000",0,0,2004,, ,28.08,7,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20121210,"3,000",30,0,2004,, ,19.25,4,78-4,시아 루비움,,,11410,서대문구,연희동, 
20121217,"10,000",0,0,2006,, ,22.61,6,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20121217,"5,500",0,0,2003,, ,18.46,4,413-126,(413-126),,,11410,서대문구,연희동, 
20121221,"5,000",45,0,2005,, ,24.15,2,218-1,연희체스트빌,,,11410,서대문구,연희동, 
20121221,"25,000",0,0,2007,, ,86.17,7,340-27,현대싱그런,,,11410,서대문구,연희동, 
20121224,"7,000",15,0,2003,, ,26.03,2,136-7,(136-7),,,11410,서대문구,연희동, 
20121226,"1,000",60,0,2003,, ,22.23,4,88-11,정연지오빌ll,,,11410,서대문구,연희동, 
20121228,"1,000",70,0,2004,13.01~14.01,신규,28.5,11,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20121228,"24,000",0,0,2007,, ,86.17,7,340-27,현대싱그런,,,11410,서대문구,연희동, 
