dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20240817,"42,000",0,0,"현대(1,2차)",1988,24.09~26.09,신규,73.98,6,202-5,,,11410,홍은동, 
20240817,"20,000",20,0,경남102동,2008,24.08~26.08,갱신,59.97,5,1010,"20,000",20,11410,북아현동, 
20240817,"60,000",130,0,e편한세상신촌2단지,2018,24.10~26.10,신규,84.98,14,1013,,,11410,북아현동, 
20240817,"55,000",40,0,힐스테이트신촌,2020,24.09~26.09, ,59.8404,18,1017,,,11410,북아현동, 
20240817,"13,000",60,0,홍은동벽산,1997,24.09~26.09,신규,58.64,8,455,,,11410,홍은동, 
20240818,"100,000",0,0,DMC래미안e편한세상,2012,24.10~26.10,갱신,120.95,12,481,"97,650",,11410,북가좌동, 
20240818,"30,000",0,0,제일아파트,2015,24.08~26.08,신규,54.69,10,470,,,11410,홍제동, 
20240818,"44,000",0,0,두산,1999,24.09~26.09,갱신,59.96,4,1009,"42,000",,11410,북아현동, 
20240818,"61,900",14,0,DMC래미안e편한세상,2012,24.11~26.11,신규,84.95,12,481,,,11410,북가좌동, 
20240818,"13,013",32,0,DMC에코자이,2019,.~26.08,신규,39.885,6,389,,,11410,남가좌동, 
20240818,"5,000",140,0,힐스테이트홍은포레스트,2023,24.12~26.12,신규,59.84,4,470,,,11410,홍은동, 
20240818,"61,900",14,0,DMC래미안e편한세상,2012,24.11~26.11,신규,84.95,12,481,,,11410,북가좌동, 
20240818,"61,900",14,0,DMC래미안e편한세상,2012,24.11~26.11,신규,84.95,12,481,,,11410,북가좌동, 
20240818,"105,000",0,0,e편한세상신촌4단지,2018,24.11~26.11,신규,84.89,10,1013,,,11410,북아현동, 
20240819,"13,013",32,0,DMC에코자이,2019,.~26.08,신규,39.885,8,389,,,11410,남가좌동, 
20240819,"40,000",70,0,e편한세상홍제가든플라츠,2023,24.10~26.10,신규,59.991,19,469,,,11410,홍은동, 
20240819,"8,980",72,0,더스타일하우스디센트럴,2020,24.09~25.09,갱신,36.1962,16,480,"8,980",71,11410,충정로3가, 
20240819,"3,197",19,0,래미안루센티아,2020,.~26.10,신규,47.91,11,390,,,11410,남가좌동, 
20240819,"16,000",0,0,서울맨션,1972,24.09~26.09,갱신,51.23,3,315-7,"13,000",,11410,홍제동, 
20240819,"85,000",0,0,홍제센트럴IPARK,2020,24.08~26.08,신규,84.9728,2,473,,,11410,홍제동, 
20240819,"69,150",0,0,힐스테이트신촌,2020,24.10~26.10,갱신,59.8404,15,1017,"66,150",,11410,북아현동, 
20240819,"5,000",150,0,북한산삼부르네상스202동203동204동,2024,24.10~26.10,신규,84.159,2,8-933,,,11410,홍은동, 
20240819,"40,000",70,0,e편한세상홍제가든플라츠,2023,24.10~26.10,신규,59.991,19,469,,,11410,홍은동, 
20240819,"69,000",0,0,힐스테이트신촌,2020,24.09~26.09,신규,59.8404,15,1017,,,11410,북아현동, 
