dealDate,deposit,monthlyRent,calcedRent,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight
20110825,"8,500",0,0,2006,, ,19.4,10,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110827,"6,000",0,0,2002,, ,17.82,6,92-7,창천오피스텔,,,11410,서대문구,창천동, 
20110829,"1,000",55,0,2002,, ,19.61,4,62-48,(62-48),,,11410,서대문구,창천동, 
20110902,"7,000",17,0,2003,, ,26.03,6,136-7,(136-7),,,11410,서대문구,연희동, 
20110909,"1,500",35,0,2004,, ,21.75,6,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20110914,"11,500",0,0,2005,, ,28.22,8,27-20,신촌가이아,,,11410,서대문구,대현동, 
20110916,"5,000",0,0,2003,, ,22.95,5,396-24,현상준건물,,,11410,서대문구,홍은동, 
20110923,"5,000",200,0,2007,, ,116.81,8,194-30,브라운스톤 연희,,,11410,서대문구,연희동, 
20110925,"8,000",25,0,2006,, ,22.61,8,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20110930,"14,500",0,0,2009,, ,56.12,8,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20111007,500,45,0,2004,, ,21.75,10,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20111010,"15,000",0,0,2009,, ,56.12,5,165-2,코지펠리스,,,11410,서대문구,홍은동, 
20111015,"1,000",50,0,2002,, ,18.5,5,62-48,(62-48),,,11410,서대문구,창천동, 
20111017,"1,000",70,0,2004,, ,24.29,5,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20111019,"7,700",0,0,2006,, ,19.4,3,190,쎄미앙 오피스텔,,,11410,서대문구,미근동, 
20111031,"1,000",30,0,2003,, ,17.34,5,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20111031,"3,000",29,0,2003,, ,24.48,5,396-25,동림오벨리스크,,,11410,서대문구,홍은동, 
20111103,"14,000",0,0,2006,, ,29.29,11,117,충정로대우디오빌,,,11410,서대문구,합동, 
20111109,"1,000",45,0,2004,11.11~12.11,신규,21.09,5,343-1,선정오피스텔,,,11410,서대문구,북가좌동, 
20111114,"12,000",0,0,2004,, ,28.08,7,20-41,아남오피스텔,,,11410,서대문구,창천동, 
20111115,"7,000",20,0,2003,, ,25.04,5,136-7,(136-7),,,11410,서대문구,연희동, 
20111115,"8,000",0,0,2004,, ,22.08,9,45-5,이화인비따레오피스텔,,,11410,서대문구,대현동, 
20111116,"8,000",0,0,2004,, ,19.89,3,97-64,경선파인 오피스텔,,,11410,서대문구,창천동, 
