,dealDate,deposit,monthlyRent,ChangeRate,calcedRent,excluUseAr,RPA,aptNm,buildYear,contractTerm,contractType,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
73,20110108,20000.0,0.0,7.2,120.0,70.45,1.7,광남캐스빌1(512-4),2000,, ,4.0,512-4,,,11410,창천동, 
74,20110108,16500.0,0.0,7.2,99.0,60.06,1.65,홍제한양,1993,11.03~13.03,신규,10.0,82,,,11410,홍제동, 
75,20110108,20000.0,0.0,7.2,120.0,59.86,2.0,동부센트레빌,2002,, ,5.0,260,,,11410,냉천동, 
76,20110108,11500.0,0.0,7.2,69.0,65.34,1.06,DMC한양,1987,, ,13.0,431,,,11410,북가좌동, 
77,20110108,10000.0,30.0,7.2,90.0,59.94,1.5,문화촌현대,2002,, ,5.0,463,,,11410,홍제동, 
78,20110109,5000.0,100.0,7.2,130.0,84.99,1.53,문화촌현대,2002,, ,5.0,463,,,11410,홍제동, 
79,20110109,15000.0,0.0,7.2,90.0,59.76,1.51,월드컵현대,1998,, ,13.0,371-1,,,11410,북가좌동, 
80,20110109,3000.0,100.0,7.2,118.0,56.02,2.11,천연뜨란채,2006,, ,4.0,145,,,11410,천연동, 
81,20110110,22000.0,0.0,7.2,132.0,84.74,1.56,대림,1993,, ,7.0,700,,,11410,연희동, 
82,20110110,21000.0,0.0,7.2,126.0,84.93,1.48,DMC아이파크,2009,, ,1.0,458,,,11410,북가좌동, 
83,20110110,20000.0,0.0,7.2,120.0,59.96,2.0,두산,1999,, ,6.0,1009,,,11410,북아현동, 
84,20110110,22000.0,0.0,7.2,132.0,84.77,1.56,홍제한양,1993,, ,8.0,82,,,11410,홍제동, 
85,20110110,13000.0,0.0,7.2,78.0,63.54,1.23,청솔하이츠2동,2004,, ,6.0,304-52,,,11410,북가좌동, 
86,20110110,11000.0,0.0,7.2,66.0,64.53,1.02,풍림1차,1988,, ,1.0,440-3,,,11410,홍은동, 
87,20110110,18500.0,0.0,7.2,111.0,59.4,1.87,청구3차,2001,, ,8.0,462,,,11410,홍제동, 
88,20110110,7000.0,100.0,7.2,142.0,84.24,1.69,북아현3차,2002,, ,5.0,189-22,,,11410,북아현동, 
89,20110110,16000.0,0.0,7.2,96.0,59.4,1.62,남가좌동현대,1999,, ,6.0,376,,,11410,남가좌동, 
90,20110110,15500.0,0.0,7.2,93.0,59.4,1.57,남가좌동현대,1999,, ,3.0,376,,,11410,남가좌동, 
91,20110110,23500.0,0.0,7.2,141.0,84.9,1.66,홍제원현대(459-0),2000,, ,14.0,459,,,11410,홍제동, 
92,20110110,22000.0,0.0,7.2,132.0,84.92,1.55,DMC아이파크,2009,11.02~13.02,신규,2.0,458,,,11410,북가좌동, 
93,20110110,13000.0,0.0,7.2,78.0,76.41,1.02,풍림아트빌(277-43),2001,, ,1.0,277-43,,,11410,홍은동, 
94,20110110,15000.0,10.0,7.2,100.0,59.96,1.67,두산,1999,, ,13.0,1009,,,11410,북아현동, 
95,20110110,25000.0,0.0,7.2,150.0,114.9,1.31,남가좌동현대,1999,, ,6.0,376,,,11410,남가좌동, 
96,20110110,25000.0,0.0,7.2,150.0,116.101,1.29,홍은동풍림아이원,2002,, ,20.0,460,,,11410,홍은동, 
97,20110110,30000.0,0.0,7.2,180.0,125.256,1.44,인왕산한신휴플러스,2009,, ,4.0,469,,,11410,홍제동, 
98,20110110,20000.0,0.0,7.2,120.0,84.98,1.41,신일해피트리,2005,, ,1.0,455,,,11410,북가좌동, 
99,20110110,27000.0,0.0,7.2,162.0,75.55,2.14,천연뜨란채,2006,, ,4.0,145,,,11410,천연동, 
100,20110110,3000.0,50.0,7.2,68.0,84.8,0.8,세라,2002,, ,2.0,3-74,,,11410,북가좌동, 
101,20110110,14000.0,0.0,7.2,84.0,82.35,1.02,유원하나,1996,, ,15.0,454,,,11410,홍제동, 
102,20110110,24000.0,0.0,7.2,144.0,59.956,2.4,에스케이뷰,2008,, ,4.0,118,,,11410,합동, 
103,20110110,21000.0,0.0,7.2,126.0,114.03,1.1,북가좌삼호,1996,, ,2.0,449,,,11410,북가좌동, 
104,20110111,19000.0,0.0,7.2,114.0,116.76,0.98,DMC한양,1987,, ,11.0,431,,,11410,북가좌동, 
105,20110111,17500.0,0.0,7.2,105.0,59.96,1.75,두산,1999,, ,14.0,1009,,,11410,북아현동, 
106,20110111,3500.0,0.0,7.2,21.0,41.12,0.51,북아현3차,2002,, ,6.0,189-22,,,11410,북아현동, 
107,20110111,15000.0,0.0,7.2,90.0,60.81,1.48,홍제현대,1992,, ,1.0,331,,,11410,홍제동, 
108,20110111,5000.0,100.0,7.2,130.0,59.58,2.18,독립문극동(200-0),1998,, ,4.0,200,,,11410,현저동, 
109,20110111,23000.0,0.0,7.2,138.0,84.6,1.63,충림예하임,2010,, ,3.0,477,,,11410,충정로3가, 
110,20110111,16000.0,0.0,7.2,96.0,59.83,1.6,선명(102동),2004,, ,7.0,703-25,,,11410,연희동, 
111,20110111,18000.0,0.0,7.2,108.0,84.63,1.28,인왕산벽산,2003,, ,2.0,465,,,11410,홍제동, 
112,20110111,17000.0,0.0,7.2,102.0,105.88,0.96,DMC한양,1987,, ,10.0,431,,,11410,북가좌동, 
113,20110111,19000.0,0.0,7.2,114.0,84.94,1.34,조한,2000,, ,12.0,458,,,11410,홍제동, 
114,20110111,26000.0,0.0,7.2,156.0,84.95,1.84,성원,2001,, ,13.0,740,,,11410,연희동, 
